capacitance,Comment,current,resistance,Description,Designator,Footprint,Quantity

"100uF","capacitor","","","Generic 1206 capacitor","C1","1206","1"
"0.1uF","capacitor","","","Generic 0603 capacitor","C2, C4, C5, C6, C7, C8, C26, C27, C28, C29, C30, C31, C33, C35","0603","14"
"4700pF","capacitor","","","Generic 0603 capacitor","C3","0603","1"
"1.6uF","capacitor","","","Generic 0603 capacitor","C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24","0603","16"
"0.01uF","capacitor","","","Generic 0603 capacitor","C25, C32, C34","0603","3"
"","LED","","","Generic 0805 LED","D1, D2, D3, D4","0805_LED","4"
"","","","","Zener Diode 14V 500mW ±5% Surface Mount SOD-1","D5","SOD123F","1"
"","=I_trip","","","Polymeric PTC Resettable Fuse 24V 2A Ih Surfa","F1","PTC Fuse 2920/07351","1"
"","MPZ1608S221ATA00","","50mOhm","220 Ohms @ 100MHz 1 Power Line Ferrite Bead 0","L1, L2","0603","2"
"","","2.8A","","MOSFET N-CHANNEL 30V 5A SOT23","M1, M2","SOT23-3","2"
"","PSMN2R2-25YLC","100A","","N-Channel 25V 100A (Tc) 106W (Tc) Surface Mount LFPAK56, Power-SO8","M3","POWER-SO8","1"
"","MMBT4401","","","","Q1, Q2, Q3","SOT23-3","3"
"","PNP Transistor","","","Bipolar (BJT) Transistor PNP 25V 1.5A 100MHz","Q4, Q5","SOT23-3","2"
"","2SB815-6-TB-E_PNP","","","","Q6","SOT23-3","1"
"","resistor","","5k","","R1, R2, R3, R4, R57, R60, R63, R66","0603","8"
"","resistor","","10k","","R5, R6, R11, R15, R16, R19, R20, R39","0603","8"
"","resistor","","1k","","R7, R8, R9, R10, R17, R18, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R56, R58, R59, R61, R62, R64, R65, R67","0603","30"
"","resistor","","62","","R12, R13","0603","2"
"","resistor","","100","","R14","0603","1"
"","resistor","","1000","","R37, R38","0603","2"
"","resistor","","100k","","R40, R41, R42, R43","0603","4"
"","resistor","","18k","","R44, R49","0603","2"
"","resistor","","2k","","R45, R48","0603","2"
"","resistor","","","","R46, R47, R50, R51, R52, R53, R54, R55","0603","8"
"","resistor","","43k","","R68, R70","0603","2"
"","resistor","","15k","","R69, R71","0603","2"
"","RCU-0C","","","RCU-0C","TP1, TP2, TP3, TP4, TP5, TP6","RCU-0C","6"
"","74HC21D AND Gate","","","74HC21D_AND_Gate","U1","SOT108-1","1"
"","","","","74HC21D_AND_Gate","U2","SOT108-1","1"
"","LT1018 Dual Comparator","","","LT1018 Dual Comparator","U3, U6, U8, U10, U11, U12, U13","SOIC-8","7"
"","MCP2561 CAN Transceiver","","","MCP2561 CAN Transceiver","U4","SOIC-8","1"
"","MKE18F512VLH16","","","32b NXP Microcontroller","U5","TQFP64","1"
"","SN74LVC1G32 OR Gate","","","SN74LVC1G32 OR GATE","U7, U9","SOT23-5","2"
"","LDO-5Pin","","","1.3V-5V 1.A","U14, U15","SOT223-5","2"
"","","","","AMP Superseal 90Deg","X1","SUPERSEAL 26POS 90Deg","1"
"","CN-2P-M-R10","","","CONN_TE_2X5POS","X2","HDR2X5_SMT","1"
